"ID","uso_internet","sexo","edad","estudios"
"677",0,"Hombre",26,"Primaria"
"678",0,"Mujer",31,"Secundaria"
"679",0,"Mujer",73,"Sin estudios"
"680",1,"Hombre",38,"Primaria"
"681",1,"Mujer",40,"Primaria"
"682",0,"Hombre",52,"Primaria"
"683",0,"Hombre",66,"Primaria"
"684",1,"Mujer",32,"Primaria"
"685",0,"Mujer",56,"Primaria"
"686",1,"Hombre",28,"Primaria"
"687",0,"Mujer",81,"Sin estudios"
"688",1,"Hombre",21,"Primaria"
"689",0,"Mujer",39,"Form Profesional"
"690",0,"Hombre",44,"Primaria"
"691",1,"Hombre",26,"Universitarios"
"692",1,"Mujer",45,"Primaria"
"693",0,"Hombre",67,"Primaria"
"694",1,"Mujer",31,"Universitarios"
"695",1,"Mujer",32,"Form Profesional"
"696",0,"Mujer",44,"Primaria"
"697",0,"Mujer",70,"Sin estudios"
"698",0,"Hombre",75,"Sin estudios"
"699",0,"Mujer",55,"Primaria"
"700",0,"Hombre",50,"Form Profesional"
"701",0,"Hombre",62,"Primaria"
"702",1,"Hombre",31,"Maestría"
"703",1,"Hombre",40,"Form Profesional"
"704",0,"Mujer",59,"Primaria"
"705",1,"Hombre",48,"Form Profesional"
"706",0,"Mujer",30,"Primaria"
"707",0,"Mujer",65,"Universitarios"
"708",1,"Mujer",45,"Maestría"
"709",0,"Hombre",56,"Primaria"
"710",0,"Mujer",58,"Universitarios"
"711",1,"Hombre",28,"Primaria"
"712",1,"Mujer",32,"Maestría"
"713",0,"Mujer",70,"Primaria"
"714",0,"Hombre",77,"Sin estudios"
"715",0,"Hombre",57,"Primaria"
"716",0,"Mujer",52,"Primaria"
"717",0,"Mujer",39,"Primaria"
"718",0,"Hombre",40,"Primaria"
"719",0,"Hombre",86,"Primaria"
"720",1,"Hombre",20,"Primaria"
"721",0,"Mujer",65,"Sin estudios"
"722",0,"Hombre",40,"Primaria"
"723",0,"Hombre",51,"Primaria"
"725",1,"Hombre",20,"Primaria"
"726",0,"Hombre",70,"Primaria"
"727",1,"Mujer",40,"Primaria"
"728",1,"Hombre",28,"Universitarios"
"729",0,"Hombre",44,"Primaria"
"730",0,"Mujer",44,"Primaria"
"731",0,"Mujer",67,"Primaria"
"732",1,"Hombre",34,"Universitarios"
"733",0,"Hombre",75,"Primaria"
"734",0,"Mujer",57,"Primaria"
"735",1,"Mujer",18,"Primaria"
"736",1,"Hombre",48,"Secundaria"
"737",1,"Hombre",37,"Universitarios"
"738",0,"Mujer",45,"Primaria"
"739",1,"Mujer",23,"Primaria"
"740",1,"Hombre",48,"Primaria"
"741",0,"Mujer",44,"Primaria"
"742",1,"Mujer",29,"Primaria"
"743",0,"Hombre",56,"Primaria"
"744",1,"Hombre",34,"Primaria"
"745",1,"Mujer",32,"Form Profesional"
"746",1,"Mujer",42,"Primaria"
"747",0,"Hombre",55,"Primaria"
"748",0,"Hombre",40,"Form Profesional"
"749",0,"Hombre",71,"Primaria"
"750",0,"Mujer",62,"Primaria"
"751",1,"Mujer",18,"Primaria"
"752",0,"Mujer",87,"Sin estudios"
"753",0,"Mujer",68,"Sin estudios"
"754",0,"Hombre",55,"Sin estudios"
"755",0,"Hombre",39,"Primaria"
"756",0,"Mujer",57,"Primaria"
"757",0,"Hombre",19,"Primaria"
"758",1,"Hombre",30,"Primaria"
"759",0,"Mujer",46,"Primaria"
"760",1,"Mujer",35,"Universitarios"
"761",0,"Mujer",22,"Form Profesional"
"762",1,"Mujer",28,"Primaria"
"763",0,"Mujer",70,"Sin estudios"
"764",0,"Mujer",38,"Primaria"
"765",1,"Mujer",45,"Primaria"
"766",0,"Hombre",28,"Primaria"
"767",0,"Hombre",48,"Primaria"
"769",1,"Hombre",36,"Maestría"
"770",0,"Hombre",86,"Sin estudios"
"771",0,"Hombre",54,"Primaria"
"772",0,"Hombre",44,"Primaria"
"773",0,"Mujer",37,"Universitarios"
"774",1,"Hombre",28,"Form Profesional"
"775",0,"Hombre",54,"Primaria"
"776",0,"Hombre",73,"Primaria"
"777",0,"Mujer",73,"Primaria"
"778",0,"Mujer",32,"Primaria"
"779",0,"Mujer",61,"Primaria"
"780",0,"Hombre",68,"Primaria"
"781",0,"Mujer",83,"Universitarios"
"782",0,"Hombre",45,"Primaria"
"783",1,"Mujer",30,"Maestría"
"784",1,"Mujer",38,"Primaria"
"785",1,"Hombre",24,"Primaria"
"786",0,"Mujer",51,"Universitarios"
"787",1,"Hombre",38,"Form Profesional"
"788",0,"Mujer",64,"Primaria"
"789",0,"Mujer",74,"Universitarios"
"790",0,"Mujer",48,"Primaria"
"791",1,"Mujer",21,"Form Profesional"
"792",0,"Mujer",29,"Primaria"
"793",1,"Hombre",31,"Form Profesional"
"794",0,"Hombre",71,"Primaria"
"795",1,"Hombre",48,"Primaria"
"796",0,"Hombre",64,"Secundaria"
"797",1,"Hombre",35,"Primaria"
"798",0,"Mujer",60,"Secundaria"
"799",0,"Hombre",63,"Primaria"
"800",1,"Hombre",19,"Secundaria"
"801",0,"Hombre",47,"Primaria"
"802",0,"Hombre",78,"Primaria"
"803",0,"Mujer",52,"Primaria"
"804",1,"Mujer",44,"Secundaria"
"805",0,"Mujer",76,"Primaria"
"806",0,"Mujer",78,"Sin estudios"
"807",1,"Hombre",41,"Maestría"
"808",0,"Mujer",63,"Primaria"
"809",1,"Mujer",44,"Secundaria"
"810",0,"Mujer",68,"Sin estudios"
"811",0,"Hombre",66,"Primaria"
"812",1,"Hombre",25,"Secundaria"
"813",1,"Mujer",25,"Maestría"
"814",1,"Hombre",46,"Secundaria"
"815",0,"Mujer",67,"Primaria"
"816",0,"Mujer",59,"Primaria"
"817",0,"Hombre",40,"Primaria"
"818",1,"Mujer",25,"Form Profesional"
"819",0,"Hombre",76,"Sin estudios"
"820",1,"Hombre",22,"Form Profesional"
"821",1,"Mujer",53,"Secundaria"
"822",1,"Hombre",31,"Primaria"
"823",0,"Mujer",42,"Primaria"
"824",0,"Hombre",60,"Primaria"
"825",0,"Mujer",32,"Secundaria"
"826",0,"Hombre",25,"Form Profesional"
"827",0,"Hombre",70,"Primaria"
"828",0,"Mujer",80,"Sin estudios"
"829",0,"Hombre",47,"Form Profesional"
"830",1,"Mujer",20,"Secundaria"
"831",1,"Hombre",56,"Maestría"
"832",0,"Hombre",53,"Primaria"
"833",0,"Mujer",73,"Sin estudios"
"834",0,"Mujer",66,"Sin estudios"
"835",1,"Hombre",33,"Primaria"
"836",1,"Mujer",40,"Primaria"
"837",1,"Hombre",65,"Form Profesional"
"838",0,"Mujer",52,"Primaria"
"839",1,"Mujer",26,"Form Profesional"
"840",1,"Mujer",26,"Form Profesional"
"841",0,"Hombre",52,"Sin estudios"
"842",1,"Mujer",24,"Form Profesional"
"843",0,"Hombre",53,"Secundaria"
"844",0,"Hombre",35,"Primaria"
"845",0,"Mujer",69,"Sin estudios"
"846",1,"Mujer",36,"Universitarios"
"847",1,"Mujer",25,"Form Profesional"
"848",0,"Mujer",69,"Primaria"
"849",0,"Hombre",36,"Primaria"
"850",1,"Mujer",46,"Universitarios"
"851",0,"Mujer",60,"Primaria"
"852",1,"Hombre",48,"Secundaria"
"853",1,"Mujer",35,"Universitarios"
"854",1,"Hombre",29,"Maestría"
"855",1,"Hombre",33,"Primaria"
"856",1,"Mujer",42,"Maestría"
"857",0,"Mujer",63,"Sin estudios"
"858",0,"Hombre",59,"Primaria"
"859",1,"Hombre",43,"Primaria"
"860",0,"Mujer",66,"Sin estudios"
"861",0,"Mujer",64,"Secundaria"
"862",1,"Hombre",52,"Secundaria"
"863",1,"Mujer",31,"Maestría"
"864",0,"Hombre",87,"Primaria"
"865",0,"Mujer",95,"Primaria"
"866",1,"Hombre",33,"Form Profesional"
"867",0,"Hombre",44,"Primaria"
"868",1,"Mujer",46,"Primaria"
"869",1,"Mujer",31,"Maestría"
"870",1,"Mujer",63,"Universitarios"
"871",1,"Hombre",21,"Universitarios"
"872",1,"Mujer",42,"Form Profesional"
"873",0,"Mujer",75,"Secundaria"
"874",0,"Hombre",67,"Form Profesional"
"875",1,"Hombre",22,"Secundaria"
"876",1,"Hombre",37,"Primaria"
"877",0,"Hombre",54,"Primaria"
"878",0,"Hombre",62,"Primaria"
"879",1,"Mujer",28,"Form Profesional"
"880",0,"Mujer",52,"Primaria"
"881",1,"Mujer",41,"Form Profesional"
"882",1,"Mujer",65,"Form Profesional"
"883",1,"Mujer",30,"Universitarios"
"884",0,"Hombre",47,"Primaria"
"885",1,"Hombre",20,"Form Profesional"
"886",1,"Mujer",40,"Form Profesional"
"887",0,"Hombre",81,"Primaria"
"888",1,"Hombre",44,"Primaria"
"889",1,"Hombre",33,"Form Profesional"
"890",1,"Mujer",27,"Form Profesional"
"891",1,"Hombre",52,"Maestría"
"892",1,"Mujer",66,"Universitarios"
"893",0,"Hombre",74,"Sin estudios"
"894",1,"Mujer",19,"Secundaria"
"895",0,"Mujer",38,"Form Profesional"
"896",1,"Hombre",35,"Maestría"
"897",1,"Hombre",22,"Secundaria"
"898",0,"Mujer",53,"Maestría"
"899",1,"Mujer",32,"Secundaria"
"900",1,"Hombre",58,"Secundaria"
"901",1,"Mujer",23,"Primaria"
"902",1,"Hombre",31,"Maestría"
"903",0,"Mujer",66,"Secundaria"
"904",1,"Hombre",42,"Primaria"
"905",0,"Mujer",57,"Primaria"
"906",1,"Hombre",73,"Maestría"
"907",1,"Hombre",34,"Primaria"
"908",1,"Mujer",31,"Secundaria"
"909",1,"Mujer",36,"Primaria"
"910",1,"Hombre",38,"Universitarios"
"911",0,"Mujer",65,"Primaria"
"912",1,"Hombre",27,"Primaria"
"913",0,"Mujer",58,"Primaria"
"914",0,"Mujer",49,"Sin estudios"
"915",0,"Hombre",69,"Primaria"
"916",0,"Hombre",59,"Secundaria"
"917",0,"Mujer",36,"Primaria"
"918",0,"Mujer",72,"Primaria"
"919",1,"Hombre",46,"Form Profesional"
"920",0,"Mujer",18,"Primaria"
"921",0,"Hombre",34,"Primaria"
"922",1,"Mujer",32,"Secundaria"
"923",1,"Hombre",26,"Primaria"
"924",1,"Hombre",56,"Secundaria"
"925",1,"Hombre",31,"Form Profesional"
"926",1,"Mujer",26,"Form Profesional"
"927",0,"Hombre",84,"Primaria"
"928",1,"Mujer",24,"Primaria"
"929",0,"Mujer",50,"Primaria"
"930",1,"Hombre",24,"Primaria"
"931",0,"Hombre",64,"Primaria"
"932",0,"Mujer",60,"Primaria"
"933",1,"Hombre",38,"Secundaria"
"934",1,"Hombre",35,"Primaria"
"935",1,"Mujer",65,"Primaria"
"936",1,"Mujer",26,"Secundaria"
"937",1,"Mujer",42,"Universitarios"
"938",0,"Hombre",48,"Primaria"
"939",0,"Hombre",78,"Sin estudios"
"940",1,"Hombre",44,"Form Profesional"
"941",0,"Hombre",34,"Primaria"
"942",0,"Hombre",46,"Secundaria"
"943",1,"Mujer",21,"Primaria"
"944",1,"Hombre",40,"Primaria"
"946",0,"Mujer",64,"Primaria"
"947",0,"Hombre",68,"Sin estudios"
"948",1,"Mujer",48,"Form Profesional"
"949",0,"Mujer",85,"Primaria"
"950",0,"Hombre",55,"Universitarios"
"951",1,"Hombre",24,"Form Profesional"
"952",0,"Mujer",80,"Sin estudios"
"953",1,"Hombre",30,"Primaria"
"954",1,"Hombre",45,"Universitarios"
"955",0,"Hombre",64,"Primaria"
"956",1,"Mujer",18,"Primaria"
"957",0,"Mujer",35,"Maestría"
"958",1,"Mujer",55,"Secundaria"
"959",1,"Mujer",82,"Universitarios"
"960",1,"Mujer",38,"Universitarios"
"961",0,"Mujer",87,"Primaria"
"962",1,"Mujer",22,"Universitarios"
"963",1,"Hombre",51,"Secundaria"
"964",0,"Hombre",77,"Primaria"
"965",1,"Hombre",62,"Universitarios"
"966",1,"Hombre",37,"Form Profesional"
"967",1,"Mujer",29,"Universitarios"
"968",0,"Mujer",62,"Primaria"
"969",1,"Mujer",47,"Secundaria"
"970",0,"Mujer",90,"Sin estudios"
"971",1,"Hombre",32,"Form Profesional"
"972",1,"Mujer",30,"Maestría"
"973",0,"Hombre",80,"Primaria"
"974",1,"Hombre",37,"Form Profesional"
"975",1,"Hombre",22,"Secundaria"
"976",0,"Hombre",80,"Primaria"
"977",0,"Hombre",46,"Form Profesional"
"978",0,"Mujer",56,"Secundaria"
"979",0,"Mujer",73,"Primaria"
"980",1,"Mujer",43,"Universitarios"
"981",1,"Hombre",34,"Form Profesional"
"982",1,"Mujer",26,"Secundaria"
"983",1,"Mujer",47,"Primaria"
"984",0,"Mujer",49,"Primaria"
"985",1,"Mujer",56,"Universitarios"
"986",1,"Mujer",29,"Universitarios"
"987",1,"Hombre",18,"Primaria"
"988",1,"Hombre",55,"Secundaria"
"989",1,"Hombre",39,"Secundaria"
"990",1,"Hombre",31,"Form Profesional"
"991",0,"Hombre",50,"Primaria"
"992",1,"Mujer",33,"Primaria"
"993",0,"Hombre",39,"Primaria"
"994",0,"Hombre",77,"Primaria"
"995",0,"Mujer",50,"Primaria"
"996",0,"Mujer",75,"Primaria"
"997",0,"Hombre",30,"Primaria"
"998",0,"Mujer",38,"Primaria"
"999",0,"Mujer",70,"Sin estudios"
"1000",0,"Hombre",31,"Primaria"
"1001",1,"Mujer",47,"Form Profesional"
"1002",0,"Hombre",79,"Primaria"
"1003",0,"Hombre",20,"Primaria"
"1004",1,"Hombre",40,"Form Profesional"
"1005",1,"Mujer",27,"Secundaria"
"1006",0,"Mujer",42,"Primaria"
"1007",0,"Hombre",52,"Primaria"
"1008",0,"Hombre",25,"Primaria"
"1009",0,"Hombre",42,"Form Profesional"
"1010",0,"Mujer",65,"Sin estudios"
"1011",0,"Mujer",56,"Primaria"
"1012",1,"Mujer",22,"Universitarios"
"1013",0,"Mujer",34,"Primaria"
"1014",1,"Hombre",21,"Primaria"
"1015",0,"Hombre",57,"Primaria"
"1016",0,"Hombre",70,"Sin estudios"
"1017",1,"Mujer",40,"Primaria"
"1018",1,"Mujer",33,"Universitarios"
"1019",1,"Hombre",25,"Primaria"
"1020",0,"Mujer",66,"Sin estudios"
"1021",1,"Hombre",39,"Secundaria"
"1022",0,"Mujer",47,"Form Profesional"
"1023",0,"Mujer",68,"Sin estudios"
"1024",1,"Hombre",30,"Primaria"
"1025",0,"Hombre",65,"Primaria"
"1026",1,"Hombre",36,"Form Profesional"
"1027",0,"Mujer",46,"Primaria"
"1028",1,"Mujer",28,"Primaria"
"1029",0,"Mujer",37,"Primaria"
"1030",0,"Mujer",62,"Primaria"
"1031",1,"Hombre",46,"Primaria"
"1032",0,"Hombre",63,"Primaria"
"1033",1,"Hombre",25,"Universitarios"
"1034",0,"Mujer",65,"Primaria"
"1035",0,"Hombre",80,"Primaria"
"1036",1,"Mujer",54,"Primaria"
"1037",0,"Hombre",50,"Form Profesional"
"1038",1,"Mujer",36,"Universitarios"
"1039",1,"Hombre",60,"Maestría"
"1040",1,"Mujer",34,"Universitarios"
"1041",1,"Mujer",21,"Secundaria"
"1042",0,"Hombre",73,"Form Profesional"
"1043",0,"Mujer",77,"Primaria"
"1044",1,"Mujer",37,"Secundaria"
"1045",1,"Hombre",45,"Primaria"
"1046",1,"Mujer",22,"Primaria"
"1047",1,"Mujer",42,"Primaria"
"1048",0,"Hombre",72,"Sin estudios"
"1049",0,"Hombre",38,"Primaria"
"1050",0,"Hombre",50,"Primaria"
"1051",1,"Hombre",28,"Universitarios"
"1052",1,"Mujer",55,"Secundaria"
"1053",0,"Mujer",65,"Primaria"
"1054",1,"Mujer",48,"Primaria"
"1055",1,"Hombre",20,"Primaria"
"1056",0,"Mujer",45,"Primaria"
"1057",1,"Mujer",32,"Secundaria"
"1058",0,"Hombre",76,"Sin estudios"
"1059",1,"Hombre",37,"Primaria"
"1060",0,"Mujer",60,"Primaria"
"1061",0,"Mujer",70,"Sin estudios"
"1062",0,"Hombre",31,"Primaria"
"1063",1,"Mujer",44,"Primaria"
"1064",0,"Mujer",30,"Primaria"
"1065",0,"Hombre",57,"Primaria"
"1066",0,"Mujer",73,"Sin estudios"
"1067",0,"Hombre",88,"Sin estudios"
"1068",1,"Hombre",18,"Primaria"
"1069",0,"Hombre",48,"Primaria"
"1070",1,"Hombre",37,"Universitarios"
"1071",0,"Mujer",60,"Primaria"
"1072",1,"Hombre",24,"Universitarios"
"1073",1,"Mujer",40,"Secundaria"
"1074",0,"Hombre",35,"Primaria"
"1075",0,"Mujer",73,"Universitarios"
"1076",1,"Mujer",33,"Universitarios"
"1077",1,"Hombre",25,"Universitarios"
"1078",1,"Mujer",45,"Form Profesional"
"1079",1,"Hombre",53,"Maestría"
"1080",1,"Hombre",68,"Universitarios"
"1081",1,"Hombre",35,"Secundaria"
"1082",0,"Mujer",24,"Primaria"
"1083",1,"Mujer",30,"Form Profesional"
"1084",0,"Mujer",80,"Primaria"
"1085",0,"Mujer",41,"Primaria"
"1086",0,"Hombre",52,"Primaria"
"1087",0,"Hombre",23,"Primaria"
"1088",1,"Hombre",70,"Primaria"
"1089",0,"Hombre",80,"Sin estudios"
"1090",0,"Hombre",60,"Primaria"
"1091",0,"Hombre",46,"Secundaria"
"1092",0,"Mujer",87,"Sin estudios"
"1093",1,"Hombre",41,"Primaria"
"1094",0,"Mujer",45,"Primaria"
"1095",0,"Mujer",54,"Universitarios"
"1096",1,"Hombre",25,"Primaria"
"1097",0,"Mujer",79,"Primaria"
"1098",1,"Hombre",40,"Form Profesional"
"1099",1,"Mujer",28,"Form Profesional"
"1100",0,"Hombre",82,"Primaria"
"1101",0,"Mujer",63,"Primaria"
"1102",1,"Hombre",59,"Primaria"
"1103",0,"Mujer",30,"Primaria"
"1104",1,"Mujer",35,"Form Profesional"
"1105",1,"Mujer",24,"Form Profesional"
"1106",1,"Hombre",45,"Universitarios"
"1107",0,"Hombre",79,"Primaria"
"1108",0,"Hombre",62,"Primaria"
"1109",0,"Mujer",62,"Primaria"
"1110",1,"Hombre",39,"Maestría"
"1111",1,"Hombre",30,"Universitarios"
"1112",1,"Mujer",65,"Form Profesional"
"1113",0,"Mujer",72,"Primaria"
"1114",1,"Hombre",22,"Form Profesional"
"1115",0,"Mujer",47,"Secundaria"
"1116",1,"Hombre",38,"Maestría"
"1117",1,"Hombre",34,"Universitarios"
"1118",0,"Mujer",52,"Primaria"
"1119",1,"Mujer",38,"Maestría"
"1120",1,"Mujer",25,"Universitarios"
"1121",1,"Hombre",50,"Form Profesional"
"1122",0,"Mujer",76,"Primaria"
"1123",1,"Hombre",23,"Form Profesional"
"1124",0,"Mujer",45,"Form Profesional"
"1125",0,"Mujer",24,"Primaria"
"1126",0,"Hombre",56,"Primaria"
"1127",1,"Mujer",35,"Maestría"
"1128",0,"Hombre",68,"Primaria"
"1129",1,"Hombre",34,"Primaria"
"1130",0,"Mujer",79,"Primaria"
"1131",1,"Mujer",31,"Universitarios"
"1132",0,"Mujer",59,"Primaria"
"1133",1,"Hombre",47,"Primaria"
"1134",1,"Hombre",35,"Form Profesional"
"1135",0,"Mujer",77,"Primaria"
"1136",1,"Hombre",44,"Primaria"
"1137",1,"Hombre",42,"Primaria"
"1138",0,"Hombre",66,"Primaria"
"1139",0,"Mujer",58,"Primaria"
"1140",0,"Mujer",44,"Primaria"
"1141",0,"Mujer",54,"Primaria"
"1142",0,"Hombre",71,"Primaria"
"1143",1,"Mujer",25,"Universitarios"
"1144",0,"Hombre",55,"Primaria"
"1145",0,"Hombre",39,"Primaria"
"1146",0,"Mujer",67,"Sin estudios"
"1147",0,"Mujer",58,"Primaria"
"1148",1,"Hombre",19,"Primaria"
"1149",1,"Hombre",49,"Form Profesional"
"1150",1,"Mujer",33,"Secundaria"
"1151",0,"Hombre",74,"Sin estudios"
"1152",0,"Mujer",58,"Form Profesional"
"1153",0,"Mujer",65,"Primaria"
"1154",0,"Hombre",35,"Secundaria"
"1155",1,"Mujer",35,"Form Profesional"
"1156",1,"Hombre",30,"Secundaria"
"1157",0,"Mujer",68,"Sin estudios"
"1158",0,"Mujer",45,"Secundaria"
"1159",0,"Hombre",64,"Primaria"
"1160",0,"Hombre",74,"Form Profesional"
"1161",0,"Mujer",75,"Sin estudios"
"1162",0,"Hombre",45,"Secundaria"
"1163",1,"Hombre",30,"Secundaria"
"1164",1,"Mujer",22,"Form Profesional"
"1165",0,"Hombre",63,"Primaria"
"1166",1,"Hombre",45,"Primaria"
"1167",0,"Mujer",54,"Primaria"
"1168",0,"Mujer",31,"Primaria"
"1169",1,"Mujer",34,"Universitarios"
"1170",1,"Mujer",39,"Universitarios"
"1171",1,"Hombre",70,"Maestría"
"1172",1,"Hombre",34,"Secundaria"
"1173",1,"Hombre",51,"Maestría"
"1174",1,"Mujer",23,"Universitarios"
"1175",0,"Mujer",83,"Primaria"
"1176",1,"Hombre",44,"Secundaria"
"1177",1,"Mujer",40,"Secundaria"
"1178",1,"Hombre",35,"Maestría"
"1179",0,"Mujer",63,"Primaria"
"1180",0,"Hombre",71,"Primaria"
"1181",0,"Mujer",63,"Primaria"
"1182",1,"Mujer",43,"Universitarios"
"1183",1,"Mujer",51,"Primaria"
"1184",1,"Hombre",30,"Universitarios"
"1185",0,"Mujer",32,"Primaria"
"1186",1,"Hombre",18,"Primaria"
"1187",0,"Mujer",68,"Primaria"
"1188",1,"Hombre",26,"Universitarios"
"1189",0,"Mujer",82,"Secundaria"
"1190",1,"Hombre",73,"Maestría"
"1191",1,"Hombre",54,"Maestría"
"1192",1,"Mujer",22,"Universitarios"
"1193",1,"Hombre",21,"Primaria"
"1194",0,"Mujer",76,"Universitarios"
"1195",0,"Hombre",80,"Primaria"
"1196",1,"Hombre",42,"Primaria"
"1197",0,"Hombre",52,"Primaria"
"1198",0,"Mujer",60,"Secundaria"
"1199",1,"Mujer",28,"Primaria"
"1200",1,"Mujer",43,"Maestría"
"1201",1,"Hombre",45,"Secundaria"
"1202",1,"Hombre",36,"Maestría"
"1203",1,"Mujer",18,"Secundaria"
"1204",1,"Mujer",34,"Maestría"
"1205",1,"Hombre",53,"Form Profesional"
"1206",1,"Mujer",48,"Primaria"
"1207",1,"Hombre",33,"Maestría"
"1208",1,"Hombre",47,"Maestría"
"1209",1,"Mujer",36,"Universitarios"
"1210",0,"Mujer",75,"Maestría"
"1211",1,"Mujer",49,"Form Profesional"
"1212",1,"Hombre",61,"Secundaria"
"1213",1,"Hombre",33,"Universitarios"
"1214",1,"Hombre",49,"Primaria"
"1215",1,"Hombre",18,"Secundaria"
"1217",0,"Hombre",25,"Primaria"
"1218",1,"Mujer",68,"Primaria"
"1219",0,"Mujer",75,"Primaria"
"1220",1,"Mujer",50,"Secundaria"
"1221",0,"Hombre",69,"Sin estudios"
"1222",1,"Mujer",43,"Secundaria"
"1223",0,"Mujer",75,"Sin estudios"
"1224",1,"Mujer",25,"Maestría"
"1225",1,"Mujer",48,"Secundaria"
"1226",1,"Hombre",27,"Primaria"
"1227",1,"Mujer",46,"Primaria"
"1228",1,"Hombre",42,"Primaria"
"1229",0,"Mujer",72,"Sin estudios"
"1230",1,"Mujer",36,"Secundaria"
"1231",0,"Hombre",66,"Primaria"
"1232",1,"Hombre",31,"Form Profesional"
"1233",1,"Hombre",31,"Form Profesional"
"1234",1,"Mujer",42,"Form Profesional"
"1235",0,"Mujer",68,"Universitarios"
"1236",1,"Mujer",18,"Form Profesional"
"1237",1,"Hombre",26,"Maestría"
"1238",0,"Mujer",49,"Primaria"
"1239",1,"Mujer",44,"Maestría"
"1240",1,"Hombre",31,"Secundaria"
"1241",0,"Hombre",58,"Primaria"
"1242",0,"Mujer",57,"Primaria"
"1243",1,"Hombre",61,"Secundaria"
"1244",1,"Mujer",42,"Secundaria"
"1245",1,"Hombre",31,"Form Profesional"
"1246",1,"Mujer",31,"Secundaria"
"1247",0,"Hombre",54,"Primaria"
"1248",1,"Mujer",43,"Maestría"
"1249",0,"Hombre",70,"Primaria"
"1250",1,"Hombre",38,"Maestría"
"1251",1,"Mujer",27,"Maestría"
"1253",0,"Mujer",34,"Form Profesional"
"1254",0,"Mujer",66,"Primaria"
"1255",1,"Hombre",52,"Form Profesional"
"1256",1,"Hombre",36,"Maestría"
"1258",0,"Hombre",70,"Maestría"
"1259",0,"Mujer",66,"Universitarios"
"1260",1,"Hombre",32,"Universitarios"
"1261",0,"Mujer",73,"Primaria"
"1262",1,"Mujer",24,"Universitarios"
"1263",0,"Mujer",64,"Primaria"
"1264",0,"Mujer",77,"Primaria"
"1265",0,"Mujer",49,"Primaria"
"1266",1,"Hombre",62,"Maestría"
"1267",0,"Mujer",59,"Primaria"
"1268",1,"Hombre",57,"Primaria"
"1269",1,"Hombre",27,"Secundaria"
"1270",1,"Mujer",19,"Secundaria"
"1271",1,"Hombre",26,"Form Profesional"
"1272",0,"Hombre",60,"Secundaria"
"1273",1,"Mujer",23,"Maestría"
"1274",1,"Hombre",54,"Secundaria"
"1275",0,"Mujer",72,"Primaria"
"1276",0,"Mujer",50,"Primaria"
"1277",0,"Mujer",33,"Primaria"
"1278",1,"Mujer",53,"Maestría"
"1279",0,"Mujer",56,"Secundaria"
"1280",1,"Hombre",25,"Universitarios"
"1281",1,"Hombre",58,"Primaria"
"1283",0,"Mujer",86,"Secundaria"
"1284",1,"Hombre",37,"Maestría"
"1285",1,"Hombre",33,"Universitarios"
"1286",1,"Mujer",37,"Maestría"
"1287",0,"Mujer",75,"Sin estudios"
"1288",1,"Mujer",55,"Secundaria"
"1289",1,"Mujer",50,"Maestría"
"1290",1,"Hombre",42,"Maestría"
"1291",0,"Mujer",25,"Primaria"
"1292",1,"Hombre",31,"Maestría"
"1293",0,"Mujer",64,"Sin estudios"
"1294",1,"Mujer",39,"Form Profesional"
"1295",1,"Hombre",36,"Secundaria"
"1296",0,"Mujer",67,"Sin estudios"
"1297",1,"Mujer",32,"Form Profesional"
"1298",1,"Hombre",41,"Primaria"
"1299",1,"Hombre",18,"Form Profesional"
"1300",0,"Mujer",36,"Primaria"
"1301",1,"Mujer",50,"Secundaria"
"1302",1,"Mujer",33,"Maestría"
"1303",1,"Hombre",39,"Secundaria"
"1304",1,"Hombre",34,"Maestría"
"1305",1,"Hombre",31,"Maestría"
"1306",1,"Mujer",33,"Form Profesional"
"1307",0,"Mujer",52,"Primaria"
"1309",0,"Hombre",80,"Sin estudios"
"1310",1,"Hombre",35,"Secundaria"
"1311",0,"Mujer",63,"Sin estudios"
"1312",0,"Hombre",31,"Primaria"
"1313",0,"Hombre",60,"Primaria"
"1314",1,"Mujer",44,"Universitarios"
"1315",1,"Hombre",37,"Secundaria"
"1316",0,"Hombre",71,"Primaria"
"1317",1,"Mujer",31,"Form Profesional"
"1318",0,"Mujer",76,"Sin estudios"
"1319",0,"Mujer",73,"Primaria"
"1320",1,"Hombre",28,"Primaria"
"1321",1,"Mujer",43,"Form Profesional"
"1322",1,"Hombre",21,"Primaria"
"1323",0,"Hombre",79,"Primaria"
"1324",1,"Hombre",41,"Primaria"
"1325",1,"Hombre",44,"Secundaria"
"1326",1,"Hombre",23,"Universitarios"
"1327",1,"Mujer",18,"Primaria"
"1328",0,"Mujer",53,"Primaria"
"1329",0,"Mujer",44,"Primaria"
"1330",0,"Mujer",55,"Primaria"
"1331",0,"Hombre",61,"Primaria"
"1332",1,"Hombre",33,"Primaria"
"1333",1,"Mujer",35,"Universitarios"
"1334",1,"Mujer",20,"Secundaria"
"1335",1,"Hombre",62,"Universitarios"
"1336",1,"Mujer",25,"Maestría"
"1337",1,"Hombre",50,"Maestría"
"1338",1,"Mujer",37,"Universitarios"
"1339",0,"Mujer",34,"Primaria"
"1340",0,"Mujer",63,"Primaria"
"1341",1,"Hombre",19,"Primaria"
"1342",0,"Hombre",49,"Primaria"
"1343",1,"Hombre",30,"Secundaria"
"1344",0,"Hombre",37,"Primaria"
